NameKlinik,Titel,DatumBewertung,Fachbereich,Erfahrungsbericht,Gesamtzufriedenheit,QualitätBeratung,MedizBehandlung,VerwaltungAblaeufe
DIAKOVERE Henriettenstift,"Absolute Zeitverschwendung
Diese Bewertung geht nicht in die Gesamtbewertung ein",16.09.2013,Psychosomatik,,star-0,star-0,star-0,star-0
DIAKOVERE Henriettenstift,"Danke für die Hilfe !
Diese Bewertung geht nicht in die Gesamtbewertung ein",19.06.2013,Unfallchirurgie,"Danke !
Hiermit möchte ich meinen Bericht über diese Station 5 in der Henriettenstiftung beginnen.
Es begann mit den sehr gewissenhaften Aufnahmegesprächen.
Die Informationen über die OP und auch des Anesthäsisten (hoffentlich richtig geschrieben) waren gut und vor allem auch für einen ""Nichtprofi"" verständlich.
Von der OP merkt man ausser der liebevollen Vorbereitung durch die ""Dame vorher"" nichts wegen der Vollnarkose.
Irgendwann bin ich dann im Zimmer aufgewacht und alles war gut.
Alle Mitarbeiter mit denen ich auf der Station Kontakt hatte (Schwestern, Essenbereitstellung, Ärzte , Stationsleitung, Reinigungskräfte, Chefarzt) machten auf mich einen sehr kompetenten, verantwortungsbewussten und wirklich freundlichen,netten Eindruck.
Danke dafür ! Bernd aus Müden",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"Sehr gute Ärzte
Diese Bewertung geht nicht in die Gesamtbewertung ein",18.06.2013,Unfallchirurgie,"Nach einem häuslichen Unfall mit Bruch eines Sprunggelenkes gegen 9.30 Uhr kam ich bald in das mir von meinem Internisten empfohlene Henriettenstift. In der Unfallaufnahme wurde ich gut versorgt, die Operation begann gegen 15 Uhr. Diese verlief gut, ebenso die anschließende Heilung. Die Leistung des Ärzteteams (Dr. Herold und Kollegen) beurteile ich als sehr gut, ebenfalls waren die anschließenden Kontrolltermine angenehm und effektiv.
Demgegenüber war die Versorgung auf Station 5 äußerst unzureichend, das Personal ließ sich kaum sehen, war meist unfreundlich, Ton und Atmosphäre auf der Station waren unangenehm. Am nettesten waren die Damen, die das Essen brachten! M.E. fehlt eine Art Krisenmanager, der mal vorbeikommt und hört, wie alles aus der Sicht eines Patienten klappt und ggf. auch Einfluß aufs Personal nehmen kann.",star-4,star-6,star-6,star-2
DIAKOVERE Henriettenstift,"MEGA MEGA MEGA begeistert!!!!!!
Diese Bewertung geht nicht in die Gesamtbewertung ein",22.05.2013,Chirurgie,"Hallöle ihr da Draußen :-)

Aufnahmetag: 16.05.2013
OP: 17.05.2013

Ich weiss garnicht wie ich meine Erfahrung kurz und knapp zusammenfassen soll ohne etwas auszulassen. Diese Klinik ist der Wahnsinn! Von den Infodamen unten im Eingangsbereich bis hin zu der Beratung, Aufnahme, Station, Küche, Raumpflegerin und insbesondere meinem Arzt/Operateur Herrn Haeder! Ich hatte sooo eine riesen Angst vor dieser OP aber nach dem Erstgespräch mit meinem Arzt war alles verflogen. Deshalb bat ich ihn auch, mich persönlich zu operieren.
Am Aufnahmetag läuft man mehrere Untersuchungs-Stationen ab. Schwestern alle super nett, einfühlsam und zu jedem Spaß zu haben. Station 6: Mich empfing eine sooo nette, humorvolle Schwester mit Headset auf, die sofort alle Hebel in Bewegung setzte um meine Mahlzeiten an meine Unverträglichkeiten anzupassen - und das sind nicht wenige ""Laktose,- Fruktose,- Sorbit,- Glutamatintoleranz gekoppelt mit einer Gastritis""!!! Sie war ein Organisationstalent, kurze Zeit später bekam ich mein Essen und Besuch von der Ernährungsberaterin. Absolut Klasse! Einzug Station 3: 2 Bett Zimmer + Ausblick in den Garten, Nachttisch, Kleiderschrank + kleinem integriertem Safe, Waschbecken, Haken für Handtücher, Spiegel, Vorhang um sich ungestört waschen zu können, kleines Fach für die Pflegemittel und Tisch mit 3 Stühlen. Gemeinsame Dusche und Wc im Flur. Alles immer sauber. Op erst am nächsten Tag - trotzdem stattete mir mein Arzt einen Besuch ab um evtl. Fragen, Ängste oder sonstiges zu klären - sowas habe ich noch nie erlebt! TOLL!
Zur Nacht Beruhigungsmittel, am Morgen danach auch + einer 24Std. Schmerztablette damit meine Schmerzen wegen meines Bandscheibenvorf. an der HWS nach der OP nicht so stark sind. Umziehen, chillen und ab in den Op. TOLLE Narkoseschwester! Und auch mein Arzt sagte kurz nochmal ""Hallo"". Aufwachraum top! Pflege auf der Station top! Ein riesen Dank an ALLE aber besonders an Herrn Haeder! Nett, humorvoll, souverän und kompetent! Gesamtnote 1+",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Engel im Kreissaal
Diese Bewertung geht nicht in die Gesamtbewertung ein",29.04.2013,Entbindung,"Die Unterstützung von den Hebammen bei der Geburt meiner Tochter war sehr, sehr toll. Durch die Mutivation der Hebamme Sylwia, die bis fast zur Geburt meiner Tochter mir beistand,schaffte ich eine normale Geburt, ohne Schmerzmittel und auch keinen womöglichen Kaiserschnitt.
Die zwischenmenschliche Seite stimmte total.
Ich sage , auch im Namen meiner Tochter,
DANKE!!!",star-4,star-4,star-6,star-2
DIAKOVERE Henriettenstift,"Leider unzufrieden gewesen!!!
Diese Bewertung geht nicht in die Gesamtbewertung ein",19.04.2013,Entbindung,"Ich würde nicht nochmal zu dieser Klinik gehen! Die Entbindung an sich war eigentlich ok jetzt aber das große ABER ich hatte den eindruck nicht erst genommen zu werden! Wenn man selber gerade in den Wehen liegt spürt man doch, dass sich unten was tut auch wenn man erstgebärende ist. Stattdessen musste ich fast drauf bestehen das bitte nochmal nach dem Muttermund geschaut wird weil die Hebamme mir ein Schlafmittel verabreichen wollte. Zum Glück habe ich drauf bestanden weil als sie nochmal nachschaute siehe da war der Muttermund schon weit offen dann hieß es nur ne dann gebe ich ihnen doch kein Schlafmittel!! Meine kleine lag schon im grünen Fruchtwasser und wenn ich überlege was alles hätte passieren können...dann ist schon ein komisches Gefühl da!! Auch die Wochenstation hat mir nicht gefallen! Ist schon klar das alle Frauen nach einer Entbindung stark bluten aber das Klo war auch vollgesaut !!! Obwohl wir ein Familienzimmer hatten haben wir doch nicht die Leistung bekommen die eigentlich hätte sein sollen weil Wochenende war wir mussten aber trotzdem den vollen Preis bezahlen. Am Tag meiner Entlassung zwischen Tür und Angel (war gerade in Eile weil ich mit meiner Kleinen zur U2 musste) kam die Frau die für das Familienzimmer zuständig war und bat mir ihre Dienste an!!! Außerdem versprechen die Schwestern die würden kommen und kommen doch nicht ins Zimmer wenn man HIlfe braucht! Viele haben für mich einen genervten Eindruck gemacht. Der Patient kann aber auch nicht dafür das die unterbesetztes Personal haben!!!",star-2,star-0,star-4,star-0
DIAKOVERE Henriettenstift,"Note 1+
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.04.2013,Frauen,"Ich kann das Brustzentrum nur empfehlen. Wurde hier operiert, das Personal, Ärtze usw. verdienen die Note 1 +. Besser kann man in einem Krankenhaus nicht aufgehoben sein. Vielen Dank :-)",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Hammerbegeistert
Diese Bewertung geht nicht in die Gesamtbewertung ein",22.03.2013,Nuklearmedizin,"Also für mich war der Aufenthalt in der Klinik zur Radiojodtherapie der Hammer. Ich bin aus der MHH einiges gewöhnt, es war diesesmal meine 5. Radiojodtherapie und für mich einfach ein hammertolles Erlebnis. Meine Mitmenschen sind soooo nett gewesen. Die Schwestern und Pfleger und vor allem Ärzte ebenfalls. Ich fand es super, dass wir das Zimmer verlassen durften. Die tägliche Visite war auch klasse, denn das ist woanders nicht so. Die Toilette ist ok und das die Dusche auf dem Flur eine Gemeinsame Dusche war, war für mich überhaupt kein Problem. Der Gemeinschaftsraum war bei uns immer gut gefüllt, im Kühlschrank konnte man Reste von den Mahlzeiten die übrig waren kalt stellen und in dem Wasserkocher der tragbar war haben wir tolle Tees gekocht. Sauber war durch die nette Putzfrau auch alles. Wir wurden sogar geweckt, wer es nicht rechtzeitig um halb acht geschafft hat aufzustehen. Ich könnte noch viel mehr klasse positives berichten. Ihr wart alle noch nicht vor 2012 in der MHH zur Radiojodtherapie und wisst nicht wie bescheiden es dort zu ging. Das war wie im Knast. Und wer sich über eine schief hängende Gardine beschwert, hats nicht anders verdient so behandelt zu werden. Ihr wisst schon was ich meine. ICH WÜRDE IMMER WIEDER IN DEN HENRIETTENSTIFT GEHEN WENN ICH MÜSSTE. Ich vermisse meine Mitbewohner auf Zeit in der Station 3 WG",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Notaufnahme bei Hexenschuss
Diese Bewertung geht nicht in die Gesamtbewertung ein",12.03.2013,Schmerztherapie,"Ich hatte kurz vor Weihnachten 2012 einen sehr starken Hexenschuss und habe mich zweimal kurz hintereinander in die Notaufnahme begeben!!

Der Artz konnte kaum deutsch und ich verstand nur mit Mühe etwas, er hat mir ein auf mein Rezept die Behandlung gedruckt und nicht die Medikamente.

Ich wurde mit meinen sehr starken Schmerzen entlassen und man verschrieb mir frei verkäufliche Schmerzmittel, die fast keine Wirkung hatten!!",star-0,star-0,star-0,star-4
DIAKOVERE Henriettenstift,"Schilddrüsenentfernung beidseits
Diese Bewertung geht nicht in die Gesamtbewertung ein",09.03.2013,Chirurgie,"Mir wurde am 04.03.13 die Schilddrüse komplett entfernt. Ich hatte wahnsinnige Angst vor der Vollnarkose, aber der Narkosearzt ist auf meine Angst eingegangen und hat mich ganz sanft einschlafen lassen (und auch wieder geweckt!). Gelegen habe ich auf Station 3 in einem 2-Bett-Zimmer. Toilette und Dusche auf dem Gang, ist aber kein Problem. Das Team der Station 3 ist nett, hilfsbereit und sehr kompetent. Danke für die gute ""Pflege"". Ich habe eine Laktose- und Fructoseintoleranz und habe entsprechendes Essen bekommen. Danke dafür an die Küche. Weil sich alle so nett gekümmert haben, habe ich mich schnell erholt und konnte am 06.03.13 schon wieder entlassen werden.",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Nie wieder!
Diese Bewertung geht nicht in die Gesamtbewertung ein",28.02.2013,Psychosomatik,"War in der psychosomatischen Tagesklinik wegen körperlicher Beschwerden von denen meine Hausärztin meinte sie seinen psychisch.
In der Klinik wird man vorab (nach einem Vorgespräch) in diverse Gruppen eingeordnet (z.B. Musiktherapie, Körpertherapie). Wirklich individuell auf den Patienten angepasst ist das nicht.
Es fielen auch oft Gruppentermine aus und man hatte dazwischen sehr lange Freiräume. Im Plan gab es z.T. auch einen Tag an dem morgens um 9:00 Uhr ein Termin war und dann erst wieder Nachmittags um 15:00 Uhr.
Die Gruppen waren meiner Meinung nach mit 12 Personen auch überbesetzt.
Wahrscheinlich hängt auch viel an den Therapeuten. Ich hatte da wohl Pech, denn meine Therapeutin ließ einen kaum zu Wort kommen und wurde teilweise schnippisch oder gab ""Ratschläge"", die mit seriöser Therapie nicht in Einklang zu bringen sind.
Nach meiner Entlassung stellte sich heraus, dass meine Symthome körperliche Uraschen hatten.
Ich versuchte die zuständigen Ärzte der Klinik per Mail und Telefonisch zu kontaktieren. Es erfolgte nie eine Reaktion, oder Rückmeldung.
Im Entlassungsbericht, den ich erst Monate später erhielt standen zum Teil persönliche Dinge, die ich meiner Therapeutin im absoluten Vertrauen erzählt habe. Außerdem wurden Behauptungen über meine Person aufgestellt, die jeglicher Grundlage entbehrten, besonders eben auch unter dem Gesichtspunkt, dass meine Beschwerden körperliche Ursachen hatten.
Ich war vor Jahren ein einer anderen Psychosomatischen Einrichtung, die in jeder Beziehung besser war als die Henriettenstiftung.
Kann diese Einrichtung überhaupt nicht empfehlen. Auch andere Mitpatienten haben schlechte Erfahrungen gemacht.",star-0,star-0,star-0,star-0
DIAKOVERE Henriettenstift,"Entbindung
Diese Bewertung geht nicht in die Gesamtbewertung ein",27.02.2013,Entbindung,"Wir waren zur Entbindung unseres Sohnes in der Henriettenstiftung (unser 3. Kind). Flüssige Abläufe von der Aufnahme bis zur Entlassung. Kompetentes und freundliches Personal. Die Hebamme hat eine fantastische Arbeit abgeliefert.
Einziger Nachteil sind noch fortbestehende 4-Bett Zimmer, in denen es zu Besuchszeiten sehr laut und ungemütlich werden kann.
Sonst gerne wieder.",star-6,star-6,star-4,star-4
DIAKOVERE Henriettenstift,"Nach einem Jahr alles wieder fit
Diese Bewertung geht nicht in die Gesamtbewertung ein",18.02.2013,Unfallchirurgie,"Ich finde das Heni super! Vor einem jahr wurde ich dort behandelt und auch 2 mal operiert. Personal und Ärtze sind super nett und voralem Fr Dr Bohl. Auch die Nachbehandöung einfach super. Einziges manko Die Station 2 (Altbau) und das Essen, allerdings kann man das überleben.",star-6,star-4,star-6,star-2
DIAKOVERE Henriettenstift,"Alles gut
Diese Bewertung geht nicht in die Gesamtbewertung ein",21.01.2013,Chirurgie,"- Terminplanung und Organisation der Patientenaufnahme sehr gut und aufeinander abgestimmt.Zur HNO-Kontrolle wird man mit dem Taxi gefahren.
- 2 Bett-Zimmer auf Station 3, aber ich lag alleine, was sehr gut tat.
- WC und Dusche auf dem Flur, macht aber nichts, da immer zugänglich und frei sowie sehr sauber.
- Essen o.K., man kann zw. mehreren Gerichten wählen.
- sehr nettes und zuvorkommendes Pflegepersonal: tun viel für das Wohlbefinden: Inhalieren, Eispads und das größte:
- am Tag nach der OP kam der Physiotherapeut für eine Schulter-Nackenmassage: das tat für die Beweglichkeit unheimlich gut.
- am Tag nach der OP kam der dicke Verband ab, am 2.Tag nach der OP durfte man auch schon duschen und am 3.Tag nach der OP nach Hause: man sollte vor der Visite duschen, denn das erleichtert das Entfernen der restlichen Pflaster !!!
- Schmerzmittel nach Bedarf, brauchte ich aber schon nach 2 Tagen nicht mehr.",star-6,star-4,star-6,star-6
DIAKOVERE Henriettenstift,"Für Angsthasen sehr zu empfehlen!!!!
Diese Bewertung geht nicht in die Gesamtbewertung ein",09.12.2012,Entbindung,"Im Sommer 2012 hab ich meinen 2. Sohn per Kaiserschnitt zur Welt gebracht. Mein 1. Sohn per Notkaiserschnitt allerdings in einer anderen Klinik und es war entsetzlich! Also entschied ich mich( nach Empfehlung meiner Gyn) meinen 2. Sohn im Neu Bethesda zur Welt zu bringen. Mein größtes Problem...bitte bloß kein Kaiserschnitt da ich schlechte Erfahrungen in einem anderen Haus hatte. Somit wurde eine normale Geburt angestrebt und da ich eine Risikoschwangere war bin ich ab dem errechneten Geburtstermin stationär aufgenommen worden. Sanfte Einleitung aber der Muttermund wollte sich nicht öffnen und nach ein paar Tagen wurde mir nahegelegt das ein Kaiserschnitt gemacht werden sollte da sich nichts tut. Ich hatte entsetzliche Angst!
Aber..die Angst war unnötig! Tolle Aufklärung und mir wurde viel Angst genommen durch tolle Àrzte und Hebammen. Klasse. Natürlich ist ein Kaiserschnitt nicht supertoll aber ich kann diese Klinik einfach nur empfehlen!!!! Nette Schwestern, gute Nachsorge und alle haben sich sehr gut gekümmert. DasKinderzimmer ist schön mit liebevollen Schwestern. Auf der Station sind 4-bettzimmer die aber meist nur mit 3 müttern belegt werden. Und mit 3 müttern und 3 babys in einem zimmer konnten trotzdem alle schlafen;-) hatte es mir wesentlich schlimmer vorgestellt.

Fazit: Tolle Klinik, sehr zu empfehlen!!!@",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Zum vierten Mal zufrieden im Henri gewesen
Diese Bewertung geht nicht in die Gesamtbewertung ein",06.12.2012,Unfallchirurgie,"Nach schwerem Skiunfall Ende 2009 mit Oberschenckel-, Schienenbein- und Schienebeinkopfbruch zwei Mal in Österreich operiert. Wegen Spätinfektion am Oberschenckelhals in 2010 drei Mal hier operiert. Da ich damals sehr zufrieden war, jetzt zur Entfernung der Titanplatte am Schienenbein wieder gekommen. Diesmal auch alles prima gewesen, auch wenn die Schrauben in Österreich wohl zu fest angezogen worden waren und die OP erheblich länger gedauert hat. Ärzte sehr kompetent und äußerst freundliches Pflegepersonal!",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"Alles super gelaufen
Diese Bewertung geht nicht in die Gesamtbewertung ein",04.12.2012,Chirurgie,"Mir wurde in diesem Jahr im zweiten Halbjahr in diesem KH die Schilddrüse entfernt.
Hierzu kann ich nur sagen: es ist alles hervorragend abgelaufen. Ich konnte relativ kurzfristig einen Termin vereinbaren, die Vorabberatung beim Anmeldungstermin war gut und ausführlich. Die Operation ist professionell und problemlos abgelaufen. Ich fühlte mich auf jeden Fall in guten Händen ! Auch die Narbe ist kaum noch sichtbar, also alles super !
Ich war auf Station 6 und kann auch über die Pfleger nur Gutes berichten. Sehr freundliches Klima auf der Station, die Pfleger und Pflegerinnen waren immer zur Stelle und haben geholfen, wo sie konnten.
Nur das Essen fand ich mäßig, das Brot teilweise etwas trocken. aber wer geht schon wegen der Verpflegung ins KH ? ;-)",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"Top-Chirurgen, super Behandlung, Freundliches Personal
Diese Bewertung geht nicht in die Gesamtbewertung ein",03.12.2012,Unfallchirurgie,"Nach der Notaufnahme in der Unfallchirugie am Sonntag nachmittag (19.08.2012) wurden sofort die Diagnosemaßnahmen
eingeleitet; sie gestalteten sich (Röntgenbilder) auf grund der
der Sehnenruptur beider Beine als schwierig, aber mit entstsprechender Hilfe wurde ein verwertbares Ergebnis für die Diagnose erzielt; der Diagnosearzt war entsetzt :
Quadriceptssehnenruptur beider Beine! Die OP wurde am 18.08. sofort eingeleitet:Die OP, mehrstündig, verlief durch die hohe Kompetenz des Chirugenteams sehr erfolgreich, wie ich erst später beurteilen konnte: Frau Dr. Bohl führte das Team an.Beteiligte Chirurgen , Therapeuten, Pfleger und Schwestern bnemühten sich zu einer ""Intensiv""-Pflege : Freundlich, kompetent und hilfsbereit! trugen sie zu einem kurzen Klinikaufenthalt bei.Von der Einlieferung bis zur Entlassung erfuhr ich eine erstklassige Betreuung und medizinische Behandlung. Hilfreich auch das Nachbehandlungsprogramm:Sofortbereitschaft telefonischer Nachfragen/Beratung an das Ärzte-Team sowie Termine zur Patientenvorstellung für eine evl. Nachbehandlung waren sehr hilfreich für die schnelle Herstellung der Mobilität.
Menüpläne wurden tägich durch entsprechende MA abgestimmt, tägliche Besorgungen für Patienten (EK,Besorgungen usw.auch extern ) wurden kostenfrei angeboten.
Von der Einlieferung bis zur Entlassung erfuhr ich eine erstklassige Betreuung und Behandlung.
Dafür meinen herzlichen Dank an alle Beteiligten, die mir wieder auf die Beine geholfen haben.",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Leben gerettet nach Darmperforation
Diese Bewertung geht nicht in die Gesamtbewertung ein",26.11.2012,Chirurgie,"ich war im November 2011 das erstemal nach einer fehlgeschlagenen Gyn-OP in einem anderen KRH ins Henrie gekommen. Dort hat man mir in 30 Tagen und 9 weiteren OP im Bauchbereich das Leben gerettet. Alle Ärzte der Chirurgie sind topp! Das Personal auf der Internsiv ist klasse und auch zum Pflegepersonal auf der Station kann ich wirklich nichts schlechtes sagen und das bei stäniger Unterbesetztung und Überbelastung.

Als ich wieder essen durfte hat man versucht mir alle meine Wünsch zu erfüllen, habe sogar speziele Laktose freie Produkte bekommen.

Im Juli 2012 war ich zu einer Nach-OP nochmals dort und war wieder rundum zufrieden. Wenn ich nochmals operiert werden müsste, würde ich immer wieder dort hin gehen.",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"Enttäuschung pur!!!
Diese Bewertung geht nicht in die Gesamtbewertung ein",30.10.2012,Psychosomatik,"Ich fahr 2011 8 Wochen lang in dieser Klinik! Anfangs fand ich die Klinik gut...Mit der Zeit wurden aber Grüppchen bei den Patienten erkennbar und ich wurde einfach bei Therapeuten rumgereicht! Am Ende wurde ich zwar mit einem besseren Allgemeinzustand entlassen, dies hielt jedoch nur einige Wochen an. Auf meine eigentlichen Probleme wurde nicht eingegangen, stattdessen alles auf die familiäre Problematik geschoben! Die Zimmer auf meiner Station waren sehr alt und stanken, zudem war ich auf einer Station wo 80% aller Patieten zickige Weiber waren! Therapieangebote vielen aus, es gab nur zank um die verbliebenen zwei Fernseher und Freizeitangebote fehlen ganz! Auf Ängste des Patienten wird nicht eingegangen! Am meisten schockiert hat mich mein Arztbrief, den ich vor wenigen Wochen zum ersten mal las! Darin hieß es, ich sei eine Patientin die sich mit anderen anlege (wann denn bitte?!?), die Therapieangebote nicht wahrnehme (wann soll ich nicht dagewesen sein?!) und die sich immer neue Probleme ausdenke (tut mir leid, dass man mit Problemen in eine Therapie geht!), einige Diagnosen und Therapien wurden vergessen reinzuschreiben! Alles in allem bin ich mehr als enttäuscht!!!!! Werde nun, ein Jahr später, eine andere Klinik aufsuchen in der Hoffnung man könne mir dort helfen!",star-2,star-0,star-2,star-4
DIAKOVERE Henriettenstift,"entbindung
Diese Bewertung geht nicht in die Gesamtbewertung ein",17.10.2012,Entbindung,"ich war 2005, 2007, 2008, und 2010 zur entbindung. alle schwestern, hebammen und ärzte waren super. nur zu empfehlen.",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"5 1/2 Stunden in der Notaufnahme
Diese Bewertung geht nicht in die Gesamtbewertung ein",29.08.2012,Unfallchirurgie,"Kamen an einem Mittwoch Nachmittag gegen 16:00 Uhr in der Notaufnahme an. Die Reservistin begrüßte uns mit einem ""ich geh jetzt in die Pause, ist mir egal wer das hier macht"". Nach ca. 1 Stunde kam meine Freundin dran, damit haben wir auch gerechnet. Nach weiteren 2 Stunden stand die erste Diagnose fest, bei welcher festgestellt wurde das es nicht so schlimm ist wie wir dachten. Weitere 3 Stunden später saß sie immer noch im Behandlungszimmer. Auf die Frage hin ob sie jetzt mal gehen dürfe wurde mit einem ""nicht bevor wir ihnen ihre Ergebnisse mitgeteilt haben"" geantwortet. Aber machen wollte es trotzdem niemand. Um ca 21:30 waren wir dann fertig!! Für uns niemals wieder Henriettenstift!",star-0,star-2,star-2,star-0
DIAKOVERE Henriettenstift,"Henriettenstift hilft bei Zähnen
Diese Bewertung geht nicht in die Gesamtbewertung ein",07.08.2012,Mund/Kiefer-Chirurgie,"Sehr höfliches Pflegepersonal, kompetente Ärzte, die den Patienten mit einbeziehen. Es wurden mir vier Zähne entfernt, der Arzt und die Assistentin waren vorzüglich, genau wie in der Vorbesprechung. Kann nur jedem raten: nicht zum Zahnarzt sondern ins Henri.",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"alles in Ordnung
Diese Bewertung geht nicht in die Gesamtbewertung ein",01.08.2012,Chirurgie,"Hallo,
ich wurde am 2.7.2012 durch Herrn Prof. Jähne an Darmkrebs operiert, gleichzeitig wurde mir die Gallenblase entfernt, wegen Gallensteine. Eine Woche nach der Op wurde mir ein Port eingesetzt, für die Chemo. Der Krankenhausaufenthalt dauerte 14 Tage. Ich kann nur positives berichten. Der Chefarzt und auch die anderen Stationsärzte haben sich bemüht, dass man schnell wieder auf die Beine kommt. Das Pflegepersonal war auch nett und hilfsbereit. Ein langes warten auf Hilfe gab es nicht.
Mit freundlichem Gruß
WR",star-6,star-6,star-6,star-4
DIAKOVERE Henriettenstift,"Notaufnahme nach MTB-Unfall
Diese Bewertung geht nicht in die Gesamtbewertung ein",31.07.2012,Unfallchirurgie,"Nachdem mich das DRK mit Verdacht auf Oberschenkelfraktur in die Notaufnahme des Henri gebracht hat, wurden ganz zügig und in netter Atmosphäre Aufnahmen angefertigt. Kein Bruch ! Dann noch die Versorgung der Kniekehlenrißwunde mit einer Naht - prima. Arzt und Pfleger/innen waren sehr nett und hilfsbereit.",star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Supernettes Krankenhaus
Diese Bewertung geht nicht in die Gesamtbewertung ein",21.07.2012,Unfallchirurgie,Insgesamt war ich mit meinem Krankenhausaufenthalt sehr zufrieden. Der Operateur war erstklassig und das gesamte Personal mehr als freundlich.,star-6,star-6,star-6,star-6
DIAKOVERE Henriettenstift,"Sehr zufriedener Patient
Diese Bewertung geht nicht in die Gesamtbewertung ein",18.07.2012,Unfallchirurgie,"Nach diversen gescheiterten OP's und Untersuchungen in anderen Krankenkäusern wurde in die Henriettenstiftung überwiesen. Zweieinhalb Jahre lang hieß es immer nur ich hätte einen Bänderriss. Nach dem MRT ab in die Sprechstunde zu Dr. Oleg Yastrebov mit den Bildern. Er war der erste Arzt, der mir genau erklärt hat WAS, WO kaputt ist.
Und das es nicht nur ein oder zwei Bänder waren die gerissen sind, sondern komplett alle Außenbänder. Außerdem war ein Stück vom Sprunggelenk abgebrochen und eine Sehne angerissen aufgrund das ich über zwei Jahre damit rumgerannt bin ohne auch nur ein Arzt mir mal vernünftig sagen konnte was da los ist.

Als ich zum Termin der Sprechstunde gekommen bin ging alles recht schnell. Ich hatte kaum Wartezeit und kam direkt dran. Dr. Yastrebov hat alles sehr gut erklärt und mir die möglichen Behandlungsmöglichkeiten erklärt. Ich habe mich für eine OP entschieden , und auch relativ schnell (2 Wochen später) einen Termin.

Als es soweit war ging auch alles schnell bis auf, dass das Zimmer, auf das ich kommen sollte noch gereinigt werden musste und ein Bett organisiert werden musste.

Auf dem Zimmer wurde noch nen bisschen Papierkram erledigt und das war's auch für den Tag. Gegen Abend kam nochmal ein Arzt rein und hat mich nochmals über die OP am nächsten Tag aufgeklärt, und mir meine fragen die ich noch hatte in ruhe beantwortet.

Nächster Tag - Op!

Es lief alles gut und organisiert ab. Die OP lief gut, die Narkose war super. Ich kam auf's Zimmer, zwar noch etwas benommen, aber das ging auch alles schnell wieder vorbei.
Schmerzen hatte ich kaum und das Pflegepersonal hat sich super gekümmert. Am nächsten Tag habe ich meinen Walker-Boot bekommen und durfte laufen.
Wie ich das mache wurde mir auch gezeigt. Nochmal zwei Tage später wurde ich entlassen. Die Entlassungspapiere usw. wurden mir schon morgens gegeben. Tabletten gegen schmerzen und Thrombosespritzen für zu Hause gab's auch noch.

Im großen und ganzen bin ich SEHR zufrieden gewesen!",star-6,star-6,star-6,star-6
